datetime,open,high,low,close,volume
2025-10-06 04:00:00,257.85,257.89,257.49,257.74,3686
2025-10-06 04:05:00,257.69,257.92,257.64,257.85,5572
2025-10-06 04:10:00,257.88,257.89,257.74,257.89,1655
2025-10-06 04:15:00,257.85,257.87,257.73,257.84,1456
2025-10-06 04:20:00,257.8,257.83,257.6,257.73,1159
2025-10-06 04:25:00,257.69,257.71,257.56,257.57,506
2025-10-06 04:30:00,257.57,257.71,257.57,257.58,269
2025-10-06 04:35:00,257.68,257.82,257.57,257.82,1048
2025-10-06 04:40:00,257.78,257.9,257.65,257.66,1627
2025-10-06 04:45:00,257.68,257.79,257.58,257.62,913
2025-10-06 04:50:00,257.66,257.7,257.57,257.67,210
2025-10-06 04:55:00,257.63,257.77,257.53,257.67,6003
2025-10-06 05:00:00,257.72,257.73,257.6,257.62,1150
2025-10-06 05:05:00,257.6,257.66,257.56,257.57,877
2025-10-06 05:10:00,257.58,257.9,257.56,257.77,3360
2025-10-06 05:15:00,257.7,257.83,257.66,257.7,514
2025-10-06 05:20:00,257.69,257.79,257.67,257.79,430
2025-10-06 05:25:00,257.75,257.78,257.61,257.76,804
2025-10-06 05:30:00,257.73,257.77,257.63,257.67,577
2025-10-06 05:35:00,257.67,257.82,257.66,257.79,1742
2025-10-06 05:40:00,257.77,257.9,257.76,257.88,3129
2025-10-06 05:45:00,257.86,257.89,257.64,257.67,9053
2025-10-06 05:50:00,257.75,257.83,257.68,257.7,620
2025-10-06 05:55:00,257.7,257.8,257.68,257.72,256
2025-10-06 06:00:00,257.74,257.9,257.6,257.86,2605
2025-10-06 06:05:00,257.88,257.97,257.87,257.87,1837
2025-10-06 06:10:00,257.87,257.93,257.85,257.93,2401
2025-10-06 06:15:00,257.93,257.93,257.88,257.9,175
2025-10-06 06:20:00,257.88,258.27,257.88,258.18,5795
2025-10-06 06:25:00,258.21,258.3,258.17,258.2,2096
2025-10-06 06:30:00,258.23,258.33,258.18,258.21,8490
2025-10-06 06:35:00,258.19,258.32,258.16,258.32,2791
2025-10-06 06:40:00,258.3,258.5,258.27,258.46,2540
2025-10-06 06:45:00,258.5,258.59,258.45,258.55,3497
2025-10-06 06:50:00,258.53,258.59,258.45,258.54,7529
2025-10-06 06:55:00,258.51,258.56,258.39,258.46,3474
2025-10-06 07:00:00,258.41,258.8,258.0,258.71,28460
2025-10-06 07:05:00,258.74,258.82,258.5,258.81,7371
2025-10-06 07:10:00,258.77,259.2,258.77,259.06,15460
2025-10-06 07:15:00,259.03,259.04,258.85,258.98,5425
2025-10-06 07:20:00,258.95,259.44,258.95,259.2,15960
2025-10-06 07:25:00,259.2,259.49,259.2,259.3,11579
2025-10-06 07:30:00,259.31,259.39,259.13,259.2,8212
2025-10-06 07:35:00,259.2,259.21,259.1,259.19,3560
2025-10-06 07:40:00,259.13,259.26,259.1,259.23,5432
2025-10-06 07:45:00,259.25,259.33,259.21,259.23,3601
2025-10-06 07:50:00,259.23,259.31,259.2,259.21,9883
2025-10-06 07:55:00,259.21,259.24,259.12,259.16,6456
2025-10-06 08:00:00,258.5,259.49,257.27,258.9,178687
2025-10-06 08:05:00,258.95,258.95,258.02,258.9,8058
2025-10-06 08:10:00,258.9,259.15,258.84,259.0,16099
2025-10-06 08:15:00,259.0,259.09,257.375,258.8,8458
2025-10-06 08:20:00,258.8,258.83,258.51,258.6,23802
2025-10-06 08:25:00,258.65,258.78,258.42,258.44,9095
2025-10-06 08:30:00,258.4036,258.57,258.01,258.2833,16605
2025-10-06 08:35:00,258.3,258.65,254.5705,258.38,8124
2025-10-06 08:40:00,258.3801,258.5762,258.02,258.29,19949
2025-10-06 08:45:00,258.27,258.357,258.05,258.0512,7553
2025-10-06 08:50:00,258.1,258.38,258.05,258.22,3710
2025-10-06 08:55:00,258.21,258.5,258.1,258.39,7366
2025-10-06 09:00:00,258.39,258.39,258.02,258.3,5209
2025-10-06 09:05:00,258.3374,258.6,258.11,258.36,12168
2025-10-06 09:10:00,258.43,258.69,258.3767,258.5,11491
2025-10-06 09:15:00,258.59,258.64,258.4,258.53,9883
2025-10-06 09:20:00,258.53,258.68,258.3203,258.45,10258
2025-10-06 09:25:00,258.42,258.68,257.7,258.05,48184
2025-10-06 09:30:00,257.99,259.07,257.23,257.921,2070810
2025-10-06 09:35:00,257.9051,258.03,256.31,256.4203,936958
2025-10-06 09:40:00,256.44,256.8,255.63,255.735,1358498
2025-10-06 09:45:00,255.725,256.265,255.05,256.2226,1094156
2025-10-06 09:50:00,256.22,256.42,255.8,256.045,690387
2025-10-06 09:55:00,256.08,256.49,255.83,256.275,761481
2025-10-06 10:00:00,256.27,257.17,256.19,256.9712,752971
2025-10-06 10:05:00,257.0,257.7701,256.86,257.74,669306
2025-10-06 10:10:00,257.74,258.62,257.63,258.4,776206
2025-10-06 10:15:00,258.39,258.75,258.04,258.09,595539
